322,H-25,POLVO,ABC,2.5 Kg,8/2021,8/2022,322,2011,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
30,H-25,POLVO,ABC,2.5 Kg,8/2021,8/2022,30,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
788,H-25,POLVO,ABC,2.5 Kg,8/2021,8/2021,788,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
32181,H-25,POLVO,ABC,2.5 Kg,3/2021,3/2021,32181,2007,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
822197,H-25,POLVO,ABC,2.5 Kg,7/2021,7/2021,822197,2016,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
9,H-25,POLVO,ABC,2.5 Kg,3/2021,3/2022,9,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
407,H-25,POLVO,ABC,2.5 Kg,3/2021,3/2021,407,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
553,H-25,POLVO,ABC,2.5 Kg,3/2021,3/2021,553,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
409,H-25,POLVO,ABC,2.5 Kg,3/2021,3/2021,409,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
874,H-25,POLVO,ABC,2.5 Kg,3/2021,3/2021,874,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
4768,H-25,POLVO,ABC,2.5 Kg,3/2021,3/2021,4768,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
66,H-25,POLVO,ABC,2.5 Kg,3/2021,3/2021,66,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
925,H-25,POLVO,ABC,2.5 Kg,3/2021,3/2021,925,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
380,H-25,POLVO,ABC,2.5 Kg,3/2021,3/2021,380,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
332,H-25,POLVO,ABC,2.5 Kg,3/2021,3/2021,332,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
782,H-25,POLVO,ABC,2.5 Kg,3/2021,3/2021,782,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
930,H-25,POLVO,ABC,2.5 Kg,3/2021,3/2021,930,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
555,H-25,POLVO,ABC,2.5 Kg,3/2021,3/2021,555,2011,Horizonte,Cassaro,En reserva,LOTE 95,Unidad de Cajas.,Col. J /  08
8,H-25,POLVO,ABC,2.5 Kg,7/2021,7/2021,8,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
80,H-25,POLVO,ABC,2.5 Kg,3/2021,3/2021,80,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
778,H-25,POLVO,ABC,2.5 Kg,3/2021,3/2021,778,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
920,H-25,POLVO,ABC,2.5 Kg,3/2021,3/2022,920,2011,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
954360,H-25,POLVO,ABC,2.5 Kg,3/2021,3/2021,954360,2011,Georgia,Cassaro,En reserva,#N/A,#N/A,#N/A
101143,H-25,POLVO,ABC,2.5 Kg,7/2021,7/2025,101143,2015,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
120,H-25,POLVO,ABC,2.5 Kg,3/2021,3/2021,120,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
101,H-25,POLVO,ABC,2.5 Kg,3/2021,3/2021,101,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
68,H-25,POLVO,ABC,2.5 Kg,3/2021,3/2021,68,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
381,H-25,POLVO,ABC,2.5 Kg,3/2021,3/2021,381,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
340,H-25,POLVO,ABC,2.5 Kg,3/2021,3/2021,340,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
901,H-25,POLVO,ABC,2.5 Kg,3/2021,3/2021,901,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
808,H-25,POLVO,ABC,2.5 Kg,3/2021,3/2021,808,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
465,H-25,POLVO,ABC,2.5 Kg,3/2021,3/2021,465,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
251,H-25,POLVO,ABC,2.5 Kg,3/2021,3/2021,251,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
934,H-25,POLVO,ABC,2.5 Kg,3/2021,3/2021,934,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
853657,H-25,POLVO,ABC,2.5 Kg,3/2021,3/2024,853657,2005,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
808067,H-25,POLVO,ABC,2.5 Kg,3/2021,3/2025,808067,2005,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
69,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2021,69,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
839,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2021,839,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
4294,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2021,4294,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
147,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2021,147,2011,Horizonte,Cassaro,En reserva,LOTE 95,Playa de Dependientes,Playa de Dependientes
362,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2021,362,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
188,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2021,188,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
91,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2021,91,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
265,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2021,265,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
51,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2021,51,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
4499,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2021,4499,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
424,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2021,424,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
2976,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2021,2976,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
110,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2021,110,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
264,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2021,264,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
5064,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2021,5064,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
862,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2021,862,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
5478,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2021,5478,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
774,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2021,774,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
967,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2021,967,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
191,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2021,191,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
932,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2021,932,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
315,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2021,315,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
677,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2022,677,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
445,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2021,445,2011,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
627,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2021,627,2011,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
3805,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2021,3805,2011,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
102,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2021,102,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
441,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2021,441,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
780,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2021,780,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
431,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2021,431,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
907066,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2022,907066,2003,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
808046,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2021,808046,2005,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
994,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2025,994,2015,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
303148,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2023,303148,2006,Drago,Cassaro,En reserva,#N/A,#N/A,#N/A
782077,H-26,POLVO,ABC,2.5 Kg,5/2021,5/2021,782077,2011,Norbco,Cassaro,En reserva,#N/A,#N/A,#N/A
52063,L,POLVO,ABC,50 Kg,5/2021,5/2023,52063,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
51993,L,POLVO,ABC,50 Kg,5/2021,5/2023,51993,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
51500,L,POLVO,ABC,70 Kg,5/2021,5/2023,51500,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
51287,L,AFFF,BC,100 Lts,5/2021,5/2022,51287,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
51293,L,AFFF,BC,100 Lts,5/2021,5/2022,51293,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
3721,L,POLVO,ABC,25 Kg,6/2020,6/2021,3721,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
51964,L,POLVO,ABC,25 Kg,5/2021,5/2023,51964,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
52172,L,POLVO,ABC,25 Kg,5/2021,5/2023,52172,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
52130,L,POLVO,ABC,25 Kg,5/2021,5/2023,52130,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
51935,L,POLVO,ABC,25 Kg,5/2021,5/2023,51935,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
51827,L,POLVO,ABC,25 Kg,5/2021,5/2023,51827,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
51856,L,POLVO,ABC,25 Kg,5/2021,5/2023,51856,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
51944,L,POLVO,ABC,25 Kg,5/2021,5/2023,51944,2018,Horizonte,Cassaro,En reserva,LOTE 95,CKD -COZZUOL,Oficina Dada
51903,L,POLVO,ABC,25 Kg,5/2021,5/2023,51903,2018,Melisam,Cassaro,En reserva,LOTE 95,CKD -COZZUOL,Galpon sur - pared norte
51945,L,POLVO,ABC,25 Kg,5/2021,5/2023,51945,2018,Melisam,Cassaro,En reserva,LOTE 95,CKD -COZZUOL,Porton norte
511821,L,POLVO,ABC,25 Kg,5/2021,5/2023,511821,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
51821,L,POLVO,ABC,25 Kg,5/2021,5/2023,51821,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
51878,L,POLVO,ABC,25 Kg,5/2021,5/2023,51878,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
38297,L,POLVO,ABC,25 Kg,7/2021,7/2021,38297,2009,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
52145,L,POLVO,ABC,25 Kg,5/2021,5/2023,52145,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
52114,L,POLVO,ABC,25 Kg,5/2021,5/2023,52114,2017,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
52176,L,POLVO,ABC,25 Kg,5/2021,5/2023,52176,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
3691,L,POLVO,ABC,25 Kg,5/2021,5/2021,3691,2017,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
3714,L,POLVO,ABC,25 Kg,5/2021,5/2021,3714,2018,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
51879,L,POLVO,ABC,25 Kg,5/2021,5/2023,51879,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
52135,L,POLVO,ABC,25 Kg,5/2021,5/2023,52135,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
3694,L,POLVO,ABC,25 Kg,8/2021,8/2021,3694,2011,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
3697,L,POLVO,ABC,25 Kg,8/2021,8/2021,3697,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
38251,L,POLVO,ABC,25 Kg,8/2021,8/2024,38251,20019,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
51886,L,POLVO,ABC,25 Kg,5/2021,5/2023,51886,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
3717,L,POLVO,ABC,25 Kg,8/2021,8/2021,3717,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
52106,L,POLVO,ABC,25 Kg,8/2021,8/2023,52106,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
51928,K,AFFF,AB,25 Lts,5/2021,5/2022,51928,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
52129,K,AFFF,AB,25 Lts,5/2021,5/2022,52129,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
52175,K,AFFF,AB,25 Lts,5/2021,5/2022,52175,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
3716,K,AFFF,AB,25 Lts,5/2021,5/2022,3716,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
51974,K,AFFF,AB,25 Lts,7/2021,7/2022,51974,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
52149,K,AFFF,AB,25 Lts,5/2021,5/2022,52149,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
51910,K,AFFF,AB,25 Lts,5/2021,5/2022,51910,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
52142,K,AFFF,AB,25 Lts,5/2021,5/2022,52142,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
51978,K,AFFF,AB,25 Lts,5/2021,5/2022,51978,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
52101,K,AFFF,AB,25 Lts,5/2021,5/2022,52101,2018,Melisam,Cassaro,En reserva,LOTE 95,CKD -COZZUOL,Alero
51952,K,AFFF,AB,25 Lts,5/2021,5/2022,51952,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
51667,K,AFFF,AB,25 Lts,5/2021,5/2022,51667,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
52121,K,AFFF,AB,25 Lts,5/2021,5/2022,52121,2018,Melisam,Cassaro,En reserva,LOTE 98,Almacén indirectos,Almacen Indirecto FCA
52123,K,AFFF,AB,25 Lts,5/2021,5/2022,52123,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
52913,K,AFFF,AB,25 Lts,5/2021,5/2022,52913,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
52103,K,AFFF,AB,25 Lts,5/2021,5/2022,52103,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
52105,K,AFFF,AB,25 Lts,5/2021,5/2022,52105,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
51956,K,AFFF,AB,25 Lts,5/2021,5/2022,51956,2018,Melisam,Cassaro,En reserva,LOTE 95,CKD -COZZUOL,Alero
52152,K,AFFF,AB,25 Lts,5/2021,5/2022,52152,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
52127,K,AFFF,AB,25 Lts,5/2021,5/2022,52127,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
52117,K,AFFF,AB,25 Lts,5/2021,5/2022,52117,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
52140,K,AFFF,AB,25 Lts,5/2021,5/2022,52140,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
52112,K,AFFF,AB,25 Lts,5/2021,5/2022,52112,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
51907,K,AFFF,AB,25 Lts,5/2021,5/2022,51907,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
52151,K,AFFF,AB,25 Lts,5/2021,5/2022,52151,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
52138,K,AFFF,AB,25 Lts,5/2021,5/2022,52138,2018,Melisam,Cassaro,En reserva,LOTE 95,Depósito de combustibles CNHIndustrial-FPT-Norte-,Dep. Comb. Norte
51908,K,AFFF,AB,25 Lts,5/2021,5/2022,51908,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
51902,K,AFFF,AB,25 Lts,5/2021,5/2022,51902,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
52126,K,AFFF,AB,25 Lts,5/2021,5/2022,52126,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
52150,K,AFFF,AB,25 Lts,5/2021,5/2022,52150,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
52103,K,AFFF,AB,25 Lts,5/2021,5/2022,52103,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
52108,K,AFFF,AB,25 Lts,5/2021,5/2022,52108,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
3688,K,AFFF,AB,25 Lts,8/2021,8/2022,3688,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
3615,K,AFFF,AB,25 Lts,8/2021,8/2022,3615,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
3611,K,AFFF,AB,25 Lts,8/2021,8/2022,3611,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
52139,K,AFFF,AB,25 Lts,7/2021,7/2022,52139,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
859794,J,CO2,BC,10 Kg,11/2020,11/2023,859794,2018,Melisam,Cassaro,En reserva,LOTE 95,Edificio Central,Inform - Comun-1-
855851,J,CO2,BC,10 Kg,11/2020,11/2023,855851,2018,Melisam,Cassaro,En reserva,LOTE 95,Edificio Central,Pasillo Pta. Baja
859785,J,CO2,BC,10 Kg,11/2020,11/2023,859785,2018,Melisam,Cassaro,En reserva,LOTE 95,Edificio Central,Comercial PostVenta
860186,J,CO2,BC,10 Kg,11/2020,11/2023,860186,2018,Melisam,Cassaro,En reserva,LOTE 95,Edificio Central,Pasillo Pta. Baja
859797,J,CO2,BC,10 Kg,11/2020,11/2023,859797,2018,Melisam,Cassaro,En reserva,LOTE 95,Edificio Central,Pasillo Pta. Baja
859798,J,CO2,BC,10 Kg,11/2020,11/2023,859798,2018,Melisam,Cassaro,En reserva,LOTE 95,Instituto.Formación.Profesional,Sub estacion Compresores
859800,J,CO2,BC,10 Kg,11/2020,11/2023,859800,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
858756,J,CO2,BC,10 Kg,12/2020,12/2023,858756,2018,Melisam,Cassaro,En reserva,LOTE 95,Edificio Central,Seguridad Patrimonial
859789,J,CO2,BC,10 Kg,8/2021,8/2023,859789,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
860191,J,CO2,BC,10 Kg,8/2021,8/2023,860191,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
855862,J,CO2,BC,10 Kg,8/2021,8/2023,855862,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
539678,,CO2,BC,7 Kg,11/2020,11/2021,539678,2006,Cassaro,Cassaro,En reserva,LOTE 95,Isla Ecológica,Desar. Madera -ex UFO-
468780,,AFFF,AB,10 Lts,8/2020,8/2020,468780,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
468102,,AFFF,AB,10 Lts,8/2020,8/2020,468102,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
468173,,AFFF,AB,10 Lts,8/2020,8/2020,468173,2018,Melisam,Cassaro,En reserva,#N/A,#N/A,#N/A
4125,,HALON,ABC,5 Kg,9/2020,9/2021,4125,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
700,,POLVO,ABC,2.5 Kg,7/2020,7/2022,700,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
656379,,POLVO,ABC,5 Kg,10/2020,10/2023,656379,2018,Cassaro,Cassaro,En reserva,LOTE 95,Centro médico Medife-,Sala de espera (1)
656275,,POLVO,ABC,5 Kg,10/2020,10/2023,656275,2018,Cassaro,Cassaro,En reserva,LOTE 95,Centro médico Medife-,Hall de servicio
646738,,POLVO,ABC,5 Kg,10/2020,10/2023,646738,2018,Cassaro,Cassaro,En reserva,LOTE 95,Centro médico Medife-,Direccion Medife
656334,,POLVO,ABC,5 Kg,10/2020,10/2023,656334,2018,Cassaro,Cassaro,En reserva,LOTE 95,Centro médico Medife-,Hall de servicio
656172,,POLVO,ABC,5 Kg,10/2020,10/2023,656172,2018,Cassaro,Cassaro,En reserva,LOTE 95,Centro médico Medife-,Direccion Medife
656197,,POLVO,ABC,5 Kg,10/2020,10/2023,656197,2018,Cassaro,Cassaro,En reserva,LOTE 95,Centro médico Medife-,Recepcion
656138,,POLVO,ABC,5 Kg,10/2020,10/2023,656138,2018,Cassaro,Cassaro,En reserva,LOTE 95,Auditorio Susana Agnelli,Auditorio- S. Agnelli
647988,,POLVO,ABC,5 Kg,10/2020,10/2023,647988,2018,Cassaro,Cassaro,En reserva,LOTE 95,Centro médico Medife-,Sala de rayos X
656108,,POLVO,ABC,5 Kg,10/2020,10/2023,656108,2018,Cassaro,Cassaro,En reserva,LOTE 95,Centro médico Medife-,Sala de espera (1)
648082,,POLVO,ABC,5 Kg,10/2020,10/2023,648082,2018,Cassaro,Cassaro,En reserva,LOTE 95,Auditorio Susana Agnelli,Auditorio- S. Agnelli
656180,,POLVO,ABC,5 Kg,10/2020,10/2023,656180,2018,Cassaro,Cassaro,En reserva,LOTE 95,Centro médico Medife-,Sala de espera (2)
656373,,POLVO,ABC,5 Kg,10/2020,10/2023,656373,2018,Cassaro,Cassaro,En reserva,LOTE 95,Centro médico Medife-,Consultorio 10
656224,,POLVO,ABC,5 Kg,10/2020,10/2023,656224,2018,Cassaro,Cassaro,En reserva,LOTE 95,Auditorio Susana Agnelli,Auditorio- S. Agnelli
656194,,POLVO,ABC,5 Kg,10/2020,10/2023,656194,2018,Cassaro,Cassaro,En reserva,LOTE 95,Centro médico Medife-,Laboratorio
648057,,POLVO,ABC,5 Kg,10/2020,10/2023,648057,2018,Cassaro,Cassaro,En reserva,LOTE 95,Centro médico Medife-,Fisoterapia
647997,,POLVO,ABC,5 Kg,10/2020,10/2023,647997,2018,Cassaro,Cassaro,En reserva,LOTE 95,Auditorio Susana Agnelli,Auditorio- S. Agnelli
656214,,POLVO,ABC,5 Kg,10/2020,10/2023,656214,2018,Cassaro,Cassaro,En reserva,LOTE 95,Auditorio Susana Agnelli,Auditorio- S. Agnelli
647946,,POLVO,ABC,5 Kg,10/2020,10/2023,647946,2018,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
647962,,POLVO,ABC,5 Kg,10/2020,10/2023,647962,2018,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
656206,,POLVO,ABC,5 Kg,9/2020,9/2023,656206,2018,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
657112,,POLVO,ABC,5 Kg,9/2020,9/2023,657112,2018,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
760538,,POLVO,ABC,5 Kg,9/2020,9/2023,760538,2018,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
657412,,POLVO,ABC,5 Kg,9/2020,9/2023,657412,2018,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
656905,,POLVO,ABC,5 Kg,9/2020,9/2023,656905,2018,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
669446,,POLVO,ABC,5 Kg,9/2020,9/2023,669446,2018,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
657423,,POLVO,ABC,5 Kg,9/2020,9/2023,657423,2018,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
737653,,POLVO,ABC,5 Kg,9/2020,9/2023,737653,2018,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
657029,,POLVO,ABC,5 Kg,9/2020,9/2023,657029,2018,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
657333,,POLVO,ABC,5 Kg,9/2020,9/2023,657333,2018,Cassaro,Cassaro,En reserva,LOTE 95,Instituto.Formación.Profesional,Sub suelo
657432,,POLVO,ABC,5 Kg,9/2020,9/2023,657432,2018,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
657208,,POLVO,ABC,5 Kg,9/2020,9/2023,657208,2018,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
6651,,POLVO,ABC,5 Kg,10/2020,10/2021,6651,2011,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
6746,,POLVO,ABC,5 Kg,10/2020,10/2021,6746,2011,Horizonte,Cassaro,En reserva,LOTE 95,Isla Ecológica,Sala de bombas
625293,,POLVO,ABC,10 Kg,12/2020,10/2023,625293,2018,Cassaro,Cassaro,En reserva,LOTE 95,Isla Ecológica,Focalizado
676648,,POLVO,ABC,10 Kg,12/2020,10/2023,676648,2018,Cassaro,Cassaro,En reserva,LOTE 95,Servicio médico de Planta,Ser. Med. Ext.
657999,,POLVO,ABC,10 Kg,9/2020,9/2023,657999,2018,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
675948,,POLVO,ABC,10 Kg,9/2020,9/2023,675948,2018,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
657845,,POLVO,ABC,10 Kg,9/2020,9/2023,657845,2018,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
4301,,POLVO,ABC,10 Kg,12/2020,12/2024,4301,2010,Cassaro,Cassaro,En reserva,#N/A,#N/A,#N/A
3705,,POLVO,ABC,25 Kg,10/2020,10/2021,3705,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
3601,,AFFF,AB,25 Lts,10/2020,10/2021,3601,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
3695,,AFFF,AB,25 Lts,12/2020,12/2021,3695,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
3700,,AFFF,AB,25 Lts,11/2020,11/2020,3700,2011,Horizonte,Cassaro,En reserva,#N/A,#N/A,#N/A
